,Instrument,Company Common Name,Country of Exchange,Company Market Cap,GICS Sub-Industry Code,GICS Sub-Industry Name
417,PGOLD.PS,Puregold Price Club Inc,Philippines,1878167114.11929,30101040,Consumer Staples Merchandise Retail
132,ILCO.TA,Israel Corporation Ltd,Israel,1863821330.52632,15101030,Fertilizers & Agricultural Chemicals
226,7581.T,Saizeriya Co Ltd,Japan,1860765089.39478,25301040,Restaurants
241,600113.SS,Zhe Jiang Dong Ri Ltd Co,China,1859317577.85498,30101030,Food Retail
490,TFMAMA.BK,Thai President Foods PCL,Thailand,1853717697.47444,30202030,Packaged Foods & Meats
255,SVN.IC,Sildarvinnslan hf,Iceland,1850198141.54801,30202030,Packaged Foods & Meats
482,TAVE.NS,Travel Food Services Ltd,India,1848813637.92012,25301040,Restaurants
343,002946.SZ,New Hope Dairy Co Ltd,China,1844664572.27309,30202030,Packaged Foods & Meats
441,CNPF.PS,Century Pacific Food Inc,Philippines,1842763483.62397,30202030,Packaged Foods & Meats
385,002385.SZ,Beijing Dabeinong Technology Group Co Ltd,China,1841968472.95169,30202010,Agricultural Products & Services
458,002847.SZ,Yankershop Food Co Ltd,China,1837070952.30812,30202030,Packaged Foods & Meats
83,FLO.N,Flowers Foods Inc,United States of America,1823141778.0,30202030,Packaged Foods & Meats
214,EXITO.CN,Almacenes Exito SA,Colombia,1809709130.14363,30101040,Consumer Staples Merchandise Retail
172,NESTLE.LG,Nestle Nigeria PLC,Nigeria,1809492729.6701,30202030,Packaged Foods & Meats
200,ABUK.CA,Abu Qir Fertilizers and Chemical Industries Co SAE,Egypt,1802827360.62295,15101030,Fertilizers & Agricultural Chemicals
115,BJC.BK,Berli Jucker PCL,Thailand,1783385181.75586,30101040,Consumer Staples Merchandise Retail
348,SLU.GQ,Corporacion Favorita CA,Ecuador,1782264981.94,30101030,Food Retail
389,002458.SZ,Shandong Yisheng Livestock & Poultry Breeding Co Ltd,China,1778088917.06068,30202030,Packaged Foods & Meats
470,YHNF.TA,M Yochananof and Sons 1988 Ltd,Israel,1767768760.77802,30101030,Food Retail
513,9858.HK,China Youran Dairy Group Ltd,Hong Kong,1758301063.20186,30202010,Agricultural Products & Services
471,2296.T,Itoham Yonekyu Holdings Inc,Japan,1756856434.72762,30202030,Packaged Foods & Meats
89,IMKTA.OQ,Ingles Markets Inc,United States of America,1750141804.64,30101030,Food Retail
399,TAPG.JK,Triputra Agro Persada Tbk PT,Indonesia,1738546038.3653,30202030,Packaged Foods & Meats
342,RMLI.TA,Rami Levi Chain Stores Hashikma Marketing 2006 Ltd,Israel,1737025421.39563,30101030,Food Retail
410,ARCO.N,Arcos Dorados Holdings Inc,United States of America,1735863589.68,25301040,Restaurants
251,POULA.TN,Poulina Group Holding SA,Tunisia,1732940568.15469,30202030,Packaged Foods & Meats
506,UIE.CO,UIE PLC,Denmark,1729033587.78626,30202010,Agricultural Products & Services
376,BIOMAR.CO,Biomar Group A/S,Denmark,1719287809.20892,30202030,Packaged Foods & Meats
360,ARYN.S,Aryzta AG,Switzerland,1712145314.84462,30202030,Packaged Foods & Meats
196,000048.SZ,Shenzhen Kingkey Smart Agriculture Times Co Ltd,China,1705321354.182,30202030,Packaged Foods & Meats
272,000998.SZ,Yuan Long Ping High-Tech Agriculture Co Ltd,China,1693670079.43445,30202010,Agricultural Products & Services
445,BIKA.NS,Bikaji Foods International Ltd,India,1689625305.79725,30202030,Packaged Foods & Meats
234,026960.KS,Dong Suh Companies Inc,Korea; Republic (S. Korea),1679338133.2981,30101020,Food Distributors
229,601038.SS,First Tractor Co Ltd,China,1677906125.13736,20106015,Agricultural & Farm Machinery
205,CCLP.NS,CCL Products (India) Ltd,India,1664735087.77859,30202030,Packaged Foods & Meats
502,6658.HK,Liuliumei Co Ltd,Hong Kong,1663319806.16448,30202030,Packaged Foods & Meats
101,NWC.TO,North West Company Inc,Canada,1655293570.99091,30101030,Food Retail
331,AUSS.OL,Austevoll Seafood ASA,Norway,1650131199.16554,30202030,Packaged Foods & Meats
541,GUNDG.IS,Gundogdu Gida Sut Urunleri Sanayi ve Dis Ticaret AS,Turkey,1636891412.16727,30202030,Packaged Foods & Meats
352,002216.SZ,Sanquan Food Co Ltd,China,1634541544.18112,30202030,Packaged Foods & Meats
225,000061.SZ,Shenzhen Agricultural Power Group Co Ltd,China,1621652581.75582,30101020,Food Distributors
127,FRNM.SI,Fraser and Neave Ltd,Singapore,1612429349.04799,30202030,Packaged Foods & Meats
361,002258.SZ,Lier Chemical Co Ltd,China,1607142784.1611,15101030,Fertilizers & Agricultural Chemicals
497,GMAT3.SA,Grupo Mateus SA,Brazil,1598887069.54886,30101040,Consumer Staples Merchandise Retail
384,NOMD.N,Nomad Foods Ltd,United States of America,1595017238.29,30202030,Packaged Foods & Meats
437,301665.SZ,CAC Nantong Chemical Co Ltd,China,1585803868.46056,15101030,Fertilizers & Agricultural Chemicals
128,1210.TW,Great Wall Enterprise Co Ltd,Taiwan,1585261394.06526,30202030,Packaged Foods & Meats
368,OSP.BK,Osotspa PCL,Thailand,1580445730.60734,30201030,Soft Drinks & Non-alcoholic Beverages
347,002170.SZ,Shenzhen Batian Ecotypic Engineering Co Ltd,China,1574068332.667,15101030,Fertilizers & Agricultural Chemicals
466,601952.SS,Jiangsu Provincial Agricultural Reclamation and Development Co Ltd,China,1563926752.43619,30202010,Agricultural Products & Services
397,002515.SZ,Jinzi Ham Co Ltd,China,1559289006.24135,30202030,Packaged Foods & Meats
37,2811.T,Kagome Co Ltd,Japan,1539402349.75631,30202030,Packaged Foods & Meats
198,TU.BK,THAI Union Group PCL,Thailand,1535225266.14552,30202030,Packaged Foods & Meats
394,PRAO.NS,Paradeep Phosphates Ltd,India,1514973757.04791,15101030,Fertilizers & Agricultural Chemicals
406,002557.SZ,Chacha Food Co Ltd,China,1508615345.27041,30202030,Packaged Foods & Meats
431,COME.MI,Comer Industries SpA,Italy,1505867926.96738,20106015,Agricultural & Farm Machinery
495,DEVY.NS,Devyani International Ltd,India,1504029232.66244,25301040,Restaurants
349,KER.WA,Kernel Holding SA,Poland,1503526824.98805,30202010,Agricultural Products & Services
468,605016.SS,Shandong Bailong Chuangyuan Bio-Tech Co Ltd,China,1500529779.84514,30202030,Packaged Foods & Meats
146,ITC.BK,i-Tail Corporation PCL,Thailand,1497294046.90319,30202030,Packaged Foods & Meats
402,300159.SZ,Xinjiang Machinery Research Institute Co Ltd,China,1496658666.61613,20106015,Agricultural & Farm Machinery
515,FAPA.JK,FAP Agri Tbk PT,Indonesia,1493335964.41479,30202010,Agricultural Products & Services
121,CENTEL.BK,Central Plaza Hotel PCL,Thailand,1491656644.61816,25301040,Restaurants
365,CLOEb.ST,Cloetta AB,Sweden,1486665425.42131,30202030,Packaged Foods & Meats
78,WEN.OQ,Wendy's Co,United States of America,1481939379.2,25301040,Restaurants
44,2001.T,Nippn Corp,Japan,1479288489.66624,30202030,Packaged Foods & Meats
367,2270.T,Megmilk Snow Brand Co Ltd,Japan,1478821232.18582,30202030,Packaged Foods & Meats
483,4161.SE,BinDawood Holding Company SJSC,Saudi Arabia,1478548030.57338,30101040,Consumer Staples Merchandise Retail
415,139480.KS,E-Mart Inc,Korea; Republic (S. Korea),1478314895.89801,30101040,Consumer Staples Merchandise Retail
530,GYG.AX,Guzman Y Gomez Ltd,Australia,1474722600.26188,25301040,Restaurants
447,BFG.MI,BF SpA,Italy,1474552558.77272,30202010,Agricultural Products & Services
247,1722.TW,Taiwan Fertilizer Co Ltd,Taiwan,1466216216.21622,15101030,Fertilizers & Agricultural Chemicals
449,CBG.BK,Carabao Group PCL,Thailand,1458208057.727,30201030,Soft Drinks & Non-alcoholic Beverages
206,600882.SS,Shanghai Milkground Food Tech Co Ltd,China,1457317585.93193,30202030,Packaged Foods & Meats
337,ILV.MV,Illovo Sugar (Malawi) plc,Malawi,1455052263.39333,30202030,Packaged Foods & Meats
140,004370.KS,Nongshim Co Ltd,Korea; Republic (S. Korea),1454466215.7342,30202030,Packaged Foods & Meats
41,2201.T,Morinaga & Co Ltd,Japan,1452194228.34845,30202030,Packaged Foods & Meats
82,FMC.N,FMC Corp,United States of America,1449275038.59,15101030,Fertilizers & Agricultural Chemicals
90,JJSF.OQ,J&J Snack Foods Corp,United States of America,1442700292.88,30202030,Packaged Foods & Meats
424,TTEN3.SA,Tres Tentos Agroindustrial SA,Brazil,1442577971.42746,30202010,Agricultural Products & Services
491,282330.KS,BGF Retail Co Ltd,Korea; Republic (S. Korea),1431667753.7486,30101030,Food Retail
29,BELL.S,Bell Food Group AG,Switzerland,1423032711.72962,30202030,Packaged Foods & Meats
443,603027.SS,Qianhe Condiment and Food Co Ltd,China,1416840679.87164,30202030,Packaged Foods & Meats
277,BRIMH.IC,Brim hf,Iceland,1400574147.0284,30202030,Packaged Foods & Meats
123,EIDP.NS,E I D-Parry (India) Ltd,India,1399915622.98773,15101030,Fertilizers & Agricultural Chemicals
413,002588.SZ,Stanley Agriculture Group Co Ltd,China,1395482526.48159,15101030,Fertilizers & Agricultural Chemicals
310,LTOL.NS,LT Foods Ltd,India,1388793355.02673,30202030,Packaged Foods & Meats
407,AGRO.N,Adecoagro SA,United States of America,1388247442.92,30202030,Packaged Foods & Meats
40,8194.T,Life Corp,Japan,1386920688.50639,30101030,Food Retail
248,007070.KS,GS Retail Co Ltd,Korea; Republic (S. Korea),1383424100.50201,30101030,Food Retail
222,DMC.N,Del Monte Corp,United States of America,1379721661.0,30202010,Agricultural Products & Services
340,1866.HK,China XLX Fertiliser Ltd,Hong Kong,1371934555.00721,15101030,Fertilizers & Agricultural Chemicals
520,603057.SS,Ziyan Foods Group Co Ltd,China,1368766155.38611,30202030,Packaged Foods & Meats
162,JPFA.JK,Japfa Comfeed Indonesia Tbk PT,Indonesia,1362721277.18043,30202030,Packaged Foods & Meats
204,AVNT.NS,Avanti Feeds Ltd,India,1361456489.31754,30202030,Packaged Foods & Meats
518,DOLE.N,Dole PLC,United States of America,1351257090.0,30202030,Packaged Foods & Meats
86,9861.T,Yoshinoya Holdings Co Ltd,Japan,1337629086.19903,25301040,Restaurants
356,4001.SE,Abdullah Al-Othaim Markets Company SJSC,Saudi Arabia,1335055527.44414,30101040,Consumer Staples Merchandise Retail
358,002251.SZ,Better Life Commercial Chain Share Co Ltd,China,1329824676.16216,30101030,Food Retail
239,PODR.ZA,Podravka Inc,Croatia,1327674932.79032,30202030,Packaged Foods & Meats
165,SFBT.TN,Societe de Fabrication des Boissons de Tunisie SA,Tunisia,1325857688.5039,30201030,Soft Drinks & Non-alcoholic Beverages
267,FEMP.SI,Food Empire Holdings Ltd,Singapore,1323401767.74493,30202030,Packaged Foods & Meats
282,5903.TWO,Taiwan Familymart Co Ltd,Taiwan,1313631211.85702,30101030,Food Retail
423,603599.SS,Anhui Guangxin Agrochemical Co Ltd,China,1310453409.7948,15101030,Fertilizers & Agricultural Chemicals
135,9869.T,Kato Sangyo Co Ltd,Japan,1308532296.87211,30101020,Food Distributors
286,600597.SS,Bright Dairy & Food Co Ltd,China,1306764070.08567,30202030,Packaged Foods & Meats
405,6808.HK,Sun Art Retail Group Ltd,Hong Kong,1301801908.89731,30101040,Consumer Staples Merchandise Retail
492,BHa.N,Biglari Holdings Inc,United States of America,1296424015.56,25301040,Restaurants
270,2659.T,San-A Co Ltd,Japan,1292367411.3147,30101030,Food Retail
351,002215.SZ,Shenzhen Noposion Crop Science Co Ltd,China,1280673711.92628,15101030,Fertilizers & Agricultural Chemicals
171,9948.T,Arcs Co Ltd,Japan,1278618517.24351,30101030,Food Retail
475,002891.SZ,Yantai China Pet Foods Co Ltd,China,1273679072.69997,30202030,Packaged Foods & Meats
339,SLCE3.SA,SLC Agricola SA,Brazil,1272463976.81317,30202010,Agricultural Products & Services
253,6010.SE,National Agricultural Development Company SJSC,Saudi Arabia,1270858025.51333,30202010,Agricultural Products & Services
335,002100.SZ,Tecon Biology Co Ltd,China,1270113577.11897,30202010,Agricultural Products & Services
223,BJRI.OQ,BJ's Restaurants Inc,United States of America,1266374755.62,25301040,Restaurants
173,BACH.NS,Balrampur Chini Mills Ltd,India,1266075048.55383,30202030,Packaged Foods & Meats
183,ENGO.PSX,Engro Holdings Limited,Pakistan,1263577239.74748,15101030,Fertilizers & Agricultural Chemicals
523,YSWY.OQ,Yesway Inc,United States of America,1263262992.53,30101030,Food Retail
408,BGA.AX,Bega Cheese Ltd,Australia,1259618701.69459,30202030,Packaged Foods & Meats
411,TABGD.IS,Tab Gida Sanayi ve Ticaret AS,Turkey,1255186550.29968,25301040,Restaurants
542,SPINNEYS.DU,Spinneys 1961 Holding PLC,United Arab Emirates,1254628621.21542,30101030,Food Retail
401,BTG.BK,Betagro PCL,Thailand,1250697534.57607,30202030,Packaged Foods & Meats
374,CBO.AX,Cobram Estate Olives Ltd,Australia,1247214863.4216,30202030,Packaged Foods & Meats
262,7616.T,Colowide Co Ltd,Japan,1245865675.10025,25301040,Restaurants
382,FATF.PSX,Fatima Fertilizer Company Ltd,Pakistan,1243834532.3741,15101030,Fertilizers & Agricultural Chemicals
353,3097.T,Monogatari Corp,Japan,1235901245.66599,25301040,Restaurants
185,MLKP.PSX,Nestle Pakistan Ltd,Pakistan,1234153040.4,30202030,Packaged Foods & Meats
52,1333.T,Umios Corp,Japan,1233812829.28003,30202030,Packaged Foods & Meats
330,002053.SZ,Yunnan Energy Investment Co Ltd,China,1223862434.11546,30202030,Packaged Foods & Meats
332,3983.HK,China BlueChemical Ltd,Hong Kong,1222796077.38118,15101030,Fertilizers & Agricultural Chemicals
514,2589.HK,Auntea Jenny (Shanghai) Industrial Co Ltd,Hong Kong,1221512550.97747,25301040,Restaurants
65,GENP.KL,Genting Plantations Bhd,Malaysia,1213540758.54438,30202010,Agricultural Products & Services
242,000848.SZ,CHENG DE LOLO Co Ltd,China,1213177583.81959,30202030,Packaged Foods & Meats
300,002004.SZ,Huapont Life Sciences Co Ltd,China,1209506968.91836,15101030,Fertilizers & Agricultural Chemicals
486,301078.SZ,Kidswant Digital Technology Co Ltd,China,1208164291.55357,30101030,Food Retail
104,SENEA.OQ,Seneca Foods Corp,United States of America,1207710074.44,30202030,Packaged Foods & Meats
487,603477.SS,Leshan Giantstar Farming & Husbandry Corp Ltd,China,1198632070.7363,30202010,Agricultural Products & Services
51,1377.T,Sakata Seed Corp,Japan,1197673861.74348,30202010,Agricultural Products & Services
446,FEVR.L,Fevertree Drinks PLC,United Kingdom,1192287869.48837,30201030,Soft Drinks & Non-alcoholic Beverages
485,SMPL.OQ,Simply Good Foods Co,United States of America,1191740446.08,30202030,Packaged Foods & Meats
273,600389.SS,Nantong Jiangshan Agrochemical & Chemicals Co Ltd,China,1189875540.96623,15101030,Fertilizers & Agricultural Chemicals
512,AVO.OQ,Mission Produce Inc,United States of America,1187901404.15,30202030,Packaged Foods & Meats
177,9936.T,Ohsho Food Service Corp,Japan,1182013512.61645,25301040,Restaurants
259,ZSUG.LZ,Zambia Sugar PLC,Zambia,1181820158.11145,30202030,Packaged Foods & Meats
510,UTZ.N,UTZ Brands Inc,United States of America,1174110257.76,30202030,Packaged Foods & Meats
221,0297.HK,Sinofert Holdings Ltd,Hong Kong,1173474758.05374,15101030,Fertilizers & Agricultural Chemicals
94,LNN.N,Lindsay Corp,United States of America,1171862307.4,20106015,Agricultural & Farm Machinery
307,MDIA3.SA,M Dias Branco SA Industria e Comercio de Alimentos,Brazil,1150132800.83752,30202030,Packaged Foods & Meats
66,0506.HK,China Foods Ltd,Hong Kong,1148610548.11074,30201030,Soft Drinks & Non-alcoholic Beverages
170,PZZA.OQ,Papa John's International Inc,United States of America,1146964208.04,25301040,Restaurants
420,JOHO.KL,Johor Plantations Group Bhd,Malaysia,1143348905.82739,30202010,Agricultural Products & Services
477,603363.SS,Fujian Aonong Biological Technology Group Incorporation Ltd,China,1141728086.94321,30202010,Agricultural Products & Services
317,GODE.NS,Godrej Agrovet Ltd,India,1131291974.91351,30202010,Agricultural Products & Services
386,002734.SZ,Limin Group Co Ltd,China,1130516608.96753,15101030,Fertilizers & Agricultural Chemicals
429,603043.SS,Guangzhou Restaurant Group Co Ltd,China,1128956758.38314,25301040,Restaurants
359,LBV.CS,Label Vie SA,Morocco,1119802601.78409,30101040,Consumer Staples Merchandise Retail
116,BBRM.NS,"Bombay Burmah Trading Corporation, Ltd",India,1118734888.87724,30202030,Packaged Foods & Meats
193,600866.SS,Star Lake Bioscience Co Inc Zhaoqing Guangdong,China,1117692150.48724,30202030,Packaged Foods & Meats
48,2602.T,Nisshin OilliO Group Ltd,Japan,1114606464.40866,30202030,Packaged Foods & Meats
148,SOPS.KL,Sarawak Oil Palms Bhd,Malaysia,1110971649.46644,30202010,Agricultural Products & Services
77,CBRL.OQ,Cracker Barrel Old Country Store Inc,United States of America,1106397270.0,25301040,Restaurants
189,ADES.JK,Akasha Wira International Tbk PT,Indonesia,1096319184.87629,30201030,Soft Drinks & Non-alcoholic Beverages
381,MEZZ.KW,Mezzan Holding Company KSCP,Kuwait,1092244106.64933,30202030,Packaged Foods & Meats
3,SIFB.BR,Sipef NV,Belgium,1088897570.14891,30202010,Agricultural Products & Services
32,8278.T,Fuji Co Ltd,Japan,1086180799.29669,30101030,Food Retail
442,UNIONCOOP.DU,Union Coop,United Arab Emirates,1085534795.36049,30101040,Consumer Staples Merchandise Retail
230,600078.SS,Jiangsu ChengXing Phosph Chemicals Co Ltd,China,1083952649.28902,15101030,Fertilizers & Agricultural Chemicals
174,9956.T,Valor Holdings Co Ltd,Japan,1082481163.24264,30101030,Food Retail
455,3222.T,United Super Markets Holdings Inc,Japan,1081087854.69801,30101030,Food Retail
464,003010.SZ,Guangzhou Ruoyuchen Technology Co Ltd,China,1075113565.59013,30101040,Consumer Staples Merchandise Retail
293,KRIr.AT,Kri-Kri Milk Industry SA,Greece,1074267972.04077,30202030,Packaged Foods & Meats
274,600305.SS,Jiangsu Hengshun Vinegar Industry Co Ltd,China,1069968854.39397,30202030,Packaged Foods & Meats
500,FARM.KL,Farm Fresh Bhd,Malaysia,1065879909.71232,30202030,Packaged Foods & Meats
318,DMP.AX,Domino's Pizza Enterprises Ltd,Australia,1065724515.65033,25301040,Restaurants
304,HAGA.IC,Hagar hf,Iceland,1064974086.57227,30101040,Consumer Staples Merchandise Retail
327,PRN.L,Princes Group PLC,United Kingdom,1064880370.36541,30202030,Packaged Foods & Meats
334,DANGSUG.LG,Dangote Sugar Refinery PLC,Nigeria,1064799541.89872,30202030,Packaged Foods & Meats
9,SAVEN.PA,Savencia SA,France,1062748064.93313,30202030,Packaged Foods & Meats
154,2815.T,Ariake Japan Co Ltd,Japan,1062653993.15195,30202030,Packaged Foods & Meats
494,ISFEL.IC,Isfelag hf,Iceland,1061441468.61029,30202030,Packaged Foods & Meats
24,MPE.L,M P Evans Group PLC,United Kingdom,1059099996.52847,30202010,Agricultural Products & Services
227,TREI.NS,Triveni Engineering and Industries Ltd,India,1053528222.12811,30202030,Packaged Foods & Meats
263,ZHCD.QA,Zad Holding Company QPSC,Qatar,1051838264.66586,30202030,Packaged Foods & Meats
320,002041.SZ,Shandong Denghai Seeds Co Ltd,China,1050549062.3252,30202010,Agricultural Products & Services
344,NTML.TA,Neto Malinda Trading Ltd,Israel,1046508622.41829,30202030,Packaged Foods & Meats
357,6250.T,Yamabiko Corp,Japan,1044952578.93763,20106015,Agricultural & Farm Machinery
93,LASa.TO,Lassonde Industries Inc,Canada,1043204850.20072,30202030,Packaged Foods & Meats
167,HERDEZ.MX,Grupo Herdez SAB de CV,Mexico,1042198502.57851,30202030,Packaged Foods & Meats
150,001800.KS,ORION Holdings Corp,Korea; Republic (S. Korea),1035128333.83975,30202030,Packaged Foods & Meats
538,0999.HK,Xiaocaiyuan International Holding Ltd,Hong Kong,1034583503.57703,25301040,Restaurants
136,LES.CS,Lesieur Ste SA,Morocco,1033174349.66081,30202030,Packaged Foods & Meats
159,JBSS.OQ,John B Sanfilippo & Son Inc,United States of America,1032306368.25,30202030,Packaged Foods & Meats
118,1215.TW,Charoen Pokphand Enterprise Taiwan Co Ltd,Taiwan,1023449244.20849,30202030,Packaged Foods & Meats
531,9879.HK,Migao Group Holdings Ltd,Hong Kong,1022335820.03902,15101030,Fertilizers & Agricultural Chemicals
292,600251.SS,Xinjiang Guannong Co Ltd,China,1007641750.26202,30202010,Agricultural Products & Services
336,SMTO3.SA,Sao Martinho SA,Brazil,987361662.263236,30202030,Packaged Foods & Meats
524,4162.SE,Almunajem Foods Company SJSC,Saudi Arabia,985112785.959679,30101020,Food Distributors
409,SG.N,Sweetgreen Inc,United States of America,919726065.18,25301040,Restaurants
392,002470.SZ,Kingenta Ecological Engineering Group Co Ltd,China,919046826.301999,15101030,Fertilizers & Agricultural Chemicals
301,600962.SS,SDIC Zhonglu Fruit Juice Co Ltd,China,907047281.184679,30202030,Packaged Foods & Meats
